Name,Price,Region,Date
OYO Townhouse 089 Hongkong Bazaar,2803,"13 OYOs in DLFPhase1,Gurgaon,Haryana","Thu, 8 Aug"
"OYO Townhouse 083 Sector 38, Gurgaon",2566,"13 OYOs in DLFPhase1,Gurgaon,Haryana","Thu, 8 Aug"
OYO 42699 The Grand Domus Deluxe,2408,"13 OYOs in DLFPhase1,Gurgaon,Haryana","Thu, 8 Aug"
Capital O 4051 La Sapphire Suite,2463,"13 OYOs in DLFPhase1,Gurgaon,Haryana","Thu, 8 Aug"
OYO 18693 Levante Deluxe,2108,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
OYO 644 Hotel Haris Court Deluxe,2006,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
Capital O 7331 Hotel Airport Park Blue Deluxe,2088,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
Capital O 917 Crown Imperial Suite,2152,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
Collection O 30027 Motif South City 1,2053,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
Capital O 4051 La Sapphire,2032,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
"OYO Townhouse 083 Sector 38, Gurgaon",2566,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
OYO X 325 Hotel Prakash Habitat,2110,"12 OYOs in DlfCyberCity,Gurugram,Haryana","Thu, 8 Aug"
OYO Townhouse 089 Hongkong Bazaar,2803,"12 OYOs in HudaCityCenterMetro,Gurugram,Haryana","Thu, 8 Aug"
"OYO Townhouse 083 Sector 38, Gurgaon",2566,"12 OYOs in HudaCityCenterMetro,Gurugram,Haryana","Thu, 8 Aug"
OYO 18693 Levante Suite,2299,"12 OYOs in HudaCityCenterMetro,Gurugram,Haryana","Thu, 8 Aug"
Capital O 7331 Hotel Airport Park Blue Suite,2281,"12 OYOs in HudaCityCenterMetro,Gurugram,Haryana","Thu, 8 Aug"
